y_real,y_pred_xgb,y_prob_xgb
0,0,2.2656337e-05
0,1,0.3675731
0,0,1.7109744e-05
0,0,0.00027740424
0,0,0.008240235
0,0,0.00011529924
0,0,0.17701405
0,0,0.0025340046
0,0,0.0010834974
0,0,0.018151598
0,0,0.056158535
0,0,4.544179e-05
0,0,2.8331688e-05
0,1,0.97629344
0,0,9.709671e-06
0,0,0.00071129744
0,0,1.25184215e-05
1,1,0.996452
1,1,0.99016297
1,1,0.9886009
0,0,0.0013798579
0,0,5.995084e-05
0,0,0.034579173
0,0,3.8212092e-05
0,0,0.0011413253
0,0,9.928775e-05
1,0,0.057476703
0,1,0.9480061
0,0,0.018434415
0,0,0.009406869
0,0,0.0020968665
0,0,3.8614642e-05
0,0,4.449967e-05
0,0,0.2209651
0,0,0.10358806
1,0,0.1444904
0,0,2.4521556e-05
0,0,0.011076912
0,0,5.5581495e-06
1,0,0.24135312
0,0,3.267091e-05
0,0,5.6257184e-05
0,1,0.36535496
0,0,0.010655431
0,0,0.003339277
0,0,2.0949346e-05
0,0,2.964518e-06
0,0,0.004354054
0,0,0.00012026852
0,0,6.3480916e-06
0,0,0.006729555
0,0,0.0030147186
0,0,0.0001346119
0,0,0.0054174773
0,0,0.0018477453
0,1,0.8634359
1,0,0.019485205
0,0,0.0015001433
0,0,5.6228542e-05
0,0,0.0002930279
0,1,0.38789847
0,0,1.605893e-05
1,1,0.91363287
0,0,0.00891632
0,0,0.00017498994
0,0,0.001033553
1,1,0.79966414
0,0,0.0002729188
0,1,0.35895544
1,0,0.18658747
0,0,0.00051675725
1,1,0.99715567
0,0,6.5914637e-06
0,0,0.17611142
1,1,0.9997218
1,1,0.66919523
0,0,0.0032557454
0,0,0.001713403
0,0,0.013496212
0,0,0.0011673727
0,0,0.0062212483
0,1,0.9287907
0,0,0.0002828349
1,0,0.0935416
0,0,2.2824732e-05
0,0,0.004406635
0,0,0.010688024
0,0,3.1792497e-06
1,1,0.9861844
0,1,0.87342465
0,0,0.0008435658
0,1,0.9118598
0,0,0.00011597086
0,0,0.0001549178
0,0,0.0028357974
0,0,2.66116e-05
0,0,0.00011733974
0,0,7.1195404e-06
0,0,0.0006510641
0,0,0.002734321
1,1,0.99909794
0,0,0.0030549283
0,1,0.8660607
0,0,0.000118360455
0,0,0.00051143486
