y_real,y_pred_lr,y_prob_lr
0,0,0.017478561378220927
0,1,0.6293023570219226
0,0,0.01994768181929394
0,0,0.04566828063494931
0,0,0.04831385900123911
0,0,0.06030490648549961
0,1,0.4574397122414508
0,0,0.09698763932063421
0,0,0.1540601506107198
0,0,0.051026930997841266
0,0,0.3330455313906303
0,0,0.052354536893956784
0,0,0.03436871117612816
0,1,0.42263719575632264
0,0,0.035309550400369226
0,0,0.025004296748033672
0,0,0.10743996526839557
1,1,0.9316966930612924
1,1,0.9768060525587894
1,1,0.9320661114082204
0,0,0.0123216808937324
0,0,0.09219326402774414
0,0,0.18020414400085924
0,0,0.018596982634805397
0,0,0.14261684954942225
0,0,0.09738937098412893
1,1,0.4537201633257175
0,1,0.8324266522864927
0,1,0.6788200065731743
0,0,0.1439397544882913
0,0,0.2765154168518426
0,0,0.026397850898910682
0,0,0.04047810827892423
0,1,0.6423230331100127
0,1,0.46187633084055024
1,1,0.9060987756268813
0,0,0.0875138027292591
0,0,0.2033923970326457
0,0,0.0562481448681938
1,1,0.9333622282306915
0,0,0.028808975357777582
0,0,0.017060651535854936
0,1,0.8292754155594906
0,0,0.09900551325036605
0,0,0.011260897387004544
0,0,0.046633661836998824
0,0,0.027551522730418616
0,0,0.2015061429253044
0,0,0.03933942991883587
0,0,0.08696128186919004
0,1,0.46382516503901533
0,0,0.20377602633135397
0,0,0.12686915815673916
0,0,0.03806677942089355
0,0,0.30720484665861797
0,1,0.8234998033815161
1,0,0.34617722509531834
0,0,0.16438482537500207
0,0,0.13694252378109964
0,0,0.23769094497328153
0,1,0.9406160237872888
0,0,0.01869921011616881
1,0,0.2580062801974588
0,1,0.40891441289024033
0,0,0.01676108226130667
0,0,0.05942493969764533
1,1,0.9448466886085128
0,0,0.2611660215668419
0,1,0.6789978710946138
1,1,0.703408637340943
0,0,0.17457182526005338
1,1,0.9134028823113112
0,0,0.016953546462110884
0,0,0.20007995505104378
1,1,0.7347616967526072
1,1,0.952265222372149
0,1,0.8420960644640959
0,0,0.13196559778977313
0,0,0.2084967153295266
0,1,0.519051676651288
0,0,0.15297367401648454
0,1,0.5476928641919323
0,1,0.4604926198751497
1,1,0.525168336667478
0,0,0.01835274340611057
0,0,0.08885284428079641
0,0,0.2521167628944967
0,0,0.01686311580283964
1,1,0.9613459070514537
0,1,0.7741354712470886
0,0,0.08742170426892976
0,1,0.807909584938255
0,0,0.08131751229969943
